age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
22.0,32.0,1.5,0.0,0.0,250.0,0.0,0.0,9.0,7.0,18.0,4.0,80.0,2.0,0.0,16.0,0.0,Male,In a relationship,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,Average
20.0,22.5,5.0,0.0,10.0,120.0,2.0,15.0,1.0,4.0,75.0,1.0,51.0,5.0,0.0,4.5,2.0,Female,Single,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,High
20.0,0.0,5.4,0.0,6.0,125.0,10.0,4.0,5.0,3.0,30.0,2.0,80.0,2.0,0.0,0.0,1.111111111111111,Female,In a relationship,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,Average
22.0,0.0,6.3,870.0,2.0,0.0,0.0,3.0,4.0,3.0,50.0,1.0,65.0,2.0,870.0,0.0,0.31746031746031744,Female,Single,No,International,DATA1001,Recording,I leave things to the last minute,Style 2,Average
19.0,20.0,9.87,819.0,3.0,120.0,0.0,0.0,3.0,0.0,20.0,5.0,80.0,6.0,40.95,3.3333333333333335,0.30395136778115506,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
18.0,0.0,6.47,500.0,13.0,100.0,2.0,1.0,8.0,0.1,55.0,3.0,75.0,2.0,500.0,0.0,2.009273570324575,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Average
20.0,0.0,8.15,759.0,10.0,200.0,1.0,5.0,6.0,0.0,3.0,5.0,90.0,10.0,759.0,0.0,1.2269938650306749,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,High
21.0,0.0,6.0,417.5,6.0,160.0,0.0,0.0,11.0,1.0,15.0,6.0,100.0,2.0,417.5,0.0,1.0,Female,Single,No,International,DATA1001,Recording,I leave things to the last minute,Style 1,Average
18.0,22.0,5.4,0.0,4.0,120.0,2.0,4.0,5.0,1.0,90.0,5.0,60.0,4.0,0.0,5.5,0.7407407407407407,Female,Its complicated,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Low
18.0,0.0,2.0,459.0,10.0,160.0,0.0,0.0,4.0,0.0,15.0,7.0,90.0,20.0,459.0,0.0,5.0,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
19.0,0.0,2.5,0.0,4.0,140.0,4.0,0.0,16.0,0.0,130.0,3.0,80.0,3.0,0.0,0.0,1.6,Female,In a relationship,Yes,Domestic,DATA1001,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2,High
19.0,0.0,2.0,0.0,15.0,110.0,0.0,0.0,10.0,1.0,50.0,4.0,85.0,2.0,0.0,0.0,7.5,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,Average
18.0,16.0,5.5,0.0,6.0,150.0,5.0,16.0,1.0,1.0,45.0,7.0,85.0,10.0,0.0,1.6,1.0909090909090908,Male,Single,Yes,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Low
18.0,3.0,1.0,0.0,15.0,180.0,1.0,7.0,5.0,0.0,45.0,7.0,80.0,2.0,0.0,1.5,15.0,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 3,Low
18.0,71.18000000000029,2.5,480.0,20.0,180.0,0.0,0.0,3.0,0.0,20.0,10.0,90.0,25.0,6.743467266085951,2.8472000000000115,8.0,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,High
26.0,0.0,2.0,267.0,10.0,220.0,5.0,48.590000000000146,20.0,6.0,5.0,6.0,75.0,5.0,267.0,0.0,5.0,Male,Single,Prefer not to say,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,High
18.0,0.0,5.0,350.0,30.0,20.0,5.0,0.0,1.0,0.0,65.0,7.0,100.0,4.0,350.0,0.0,6.0,Female,In a relationship,No,International,DATA1001,Lecture Slides,I work steadily all semester,Style 1,Average
19.0,12.0,8.0,800.0,25.0,0.0,10.0,8.0,8.0,0.0,20.0,7.0,75.0,3.0,66.66666666666667,4.0,3.125,Male,In a relationship,No,International,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 2,Average
17.0,16.0,9.27,0.0,5.0,0.0,0.0,0.0,15.0,0.0,40.0,6.0,85.0,4.0,0.0,4.0,0.5393743257820928,Female,Single,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,High
19.0,3.0,6.0,0.0,10.0,120.0,40.0,0.0,4.0,4.0,90.0,5.0,75.0,3.0,0.0,1.0,1.6666666666666667,Female,In a relationship,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 1,Average
18.0,0.0,5.25,600.0,10.0,191.0,0.0,0.0,6.0,0.0,10.0,5.0,80.0,6.0,600.0,0.0,1.9047619047619047,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 2,Low
19.0,10.0,5.0,599.0,0.0,110.0,0.0,0.0,10.0,0.0,45.0,5.0,90.0,3.0,59.9,3.3333333333333335,0.0,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
18.0,0.0,5.5,950.0,50.0,100.0,5.0,7.0,15.0,1.0,1.0,0.0,100.0,0.0,950.0,0.0,9.090909090909092,Female,Single,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 3,Low
23.0,5.0,1.2,490.0,1.0,130.0,10.0,0.0,5.0,0.0,50.0,6.0,100.0,5.0,98.0,1.0,0.8333333333333334,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,High
21.0,0.0,7.0,1000.0,7.0,120.0,0.0,0.0,6.0,1.0,15.0,7.0,90.0,6.0,1000.0,0.0,1.0,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Low
19.0,0.0,4.37,589.0,10.0,90.0,0.0,0.0,4.0,0.0,17.0,5.0,100.0,2.0,589.0,0.0,2.2883295194508007,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,High
20.0,0.0,8.0,1000.0,10.0,200.0,3.0,10.0,8.0,1.0,15.0,8.0,100.0,5.0,1000.0,0.0,1.25,Male,Its complicated,No,International,DATA1001,Recording,It changes depending on the subject,Style 1,High
19.0,12.0,4.0,0.0,10.0,120.0,0.0,0.0,5.0,1.0,20.0,7.0,85.0,3.0,0.0,4.0,2.5,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,It changes depending on the subject,Style 3,Average
19.0,10.0,6.0,530.0,10.0,130.0,0.0,10.0,4.0,0.0,20.0,8.0,80.0,5.0,53.0,2.0,1.6666666666666667,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,High
19.0,2.0,0.26,0.0,15.0,130.0,0.0,3.0,10.0,3.0,10.0,7.0,90.0,2.0,0.0,1.0,33.333333333333336,Female,Single,Yes,Domestic,DATA1901,Lecture Slides,I work steadily all semester,Style 1,Average
17.0,0.0,2.0,400.0,6.0,140.0,0.0,0.0,8.0,0.0,60.0,8.0,80.0,4.0,400.0,0.0,3.0,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
18.0,0.0,6.0,600.0,3.0,0.0,1.0,7.0,5.0,0.0,20.0,5.0,65.0,7.0,600.0,0.0,0.5,Male,Single,No,International,DATA1001,Recording,I work steadily all semester,Style 2,Average
18.0,0.0,2.25,0.0,4.0,120.0,0.0,0.0,4.0,0.0,70.0,4.0,75.0,1.0,0.0,0.0,1.7777777777777777,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I leave things to the last minute,Style 3,Low
20.0,70.0,4.0,500.0,1.0,120.0,0.0,0.0,3.0,0.0,20.0,7.0,80.0,10.0,7.142857142857143,7.0,0.25,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
20.0,0.0,4.0,0.0,10.0,110.0,1.0,0.0,6.0,1.0,90.0,10.0,100.0,5.0,0.0,0.0,2.5,Male,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 1,High
