cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,18,Female,Other Please Specify,New Zealand,0,3,0,25,7,95,Single,0,0,7,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,75,5,85,3,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,19,Female,Other Please Specify,New Zealand ,0,2,0,6,8,130,In a relationship,20,0,8,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,1,15,5,90,3,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,19,Female,China,,1,4,0,6,3,0,Single,0,0,8,Have you ever used recreational drugs?,No,International,DATA1001,1,25,4,85,3,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,19,Male,Other Please Specify,Vietnam,100,6,500,3,5,100,Single,50,2,2,Have you ever gotten high off recreational drugs?,No,International,DATA1001,1,50,8,9,8,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Female,Australia,,8,3,0,5,6,120,Single,1,1,6,Have you ever used recreational drugs?,No,Domestic,DATA1001,3,40,6,70,3,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,22,Male,China,,100,6,730,10,6,200,Single,4,0,3,Have you ever used recreational drugs?,No,International,DATA1001,0,40,6,85,14,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Taiwan,0,3,380,10,4,110,Single,2,0,5,Have you ever used recreational drugs?,No,International,DATA1001,0,10,10,100,5,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,19,Male,Other Please Specify,England,6,3.5,275,15,3,193,Single,5,4,20,Have you ever gotten high off recreational drugs?,Prefer not to say,Domestic,DATA1001,1,35,6,100,3,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Taiwan,0,6,759,20,10,0,Single,0,0,6,Have you ever used recreational drugs?,No,International,DATA1001,1,25,3,100,8,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,22,Male,China,,72,6.8,360,5,7,220,Single,12,2,7,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,60,7,80,20,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,18,Non-binary / third gender,Australia,,0,1.39,0,5,3,100,Single,0,0,0,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,90,5,80,5,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,17,Male,Other Please Specify,Vietnam,0,1.35,400,2,7,120,In a relationship,1,3,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,50,6,100,0,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,21,Male,Other Please Specify,Bangladesh,0,5,0,6,8,140,Single,0,0,20,Have you ever used recreational drugs?,No,International,DATA1001,0,70,8,90,6,Recording,It changes depending on the subject,Style 1
